Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Waterco,Hydrostorm ECO-V 100,,"Australia,Fiji,New Zealand",Variable speed,888.0,6.5,5.13,5.0,35.259,6.2675,517.6,2027-09-07,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Evolution,Evoflow Storm ECO-V 100,,"Australia,Fiji,New Zealand",Variable speed,888.0,6.5,5.13,5.0,35.259,6.2675,517.6,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Waterco,Hydrostorm ECO-V 150,,"Australia,Fiji,New Zealand",Variable speed,1252.0,8.9,5.21,5.0,31.963,5.8835,570.97,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Waterco,Supatuf ECO 100 MK2,,"Australia,Fiji,New Zealand",Multi speed,814.0,5.6,4.21,4.0,29.51,5.2783,618.43,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4_Star.png
Waterco,Supatuf ECO-V 100 MK2,,"Australia,Fiji,New Zealand",Variable speed,813.0,5.7,5.29,5.0,37.584,6.3026,485.58,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Waterco,Supatuf ECO-V 150 MK2,,"Australia,Fiji,New Zealand",Variable speed,1012.0,7.0,5.34,5.0,35.45,6.0721,514.8,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Evolution,Evoflow Eco-Tuf 100 MK2,,"Australia,Fiji",Variable speed,813.0,5.7,5.29,5.0,37.584,6.3026,485.58,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Lacron,Lacronite ECO 100,,"Australia,Fiji,New Zealand",Multi speed,892.0,6.5,4.06,4.0,27.721,5.3194,658.35,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4_Star.png
Lacron,Lacronite ECO-V100,,"Australia,Fiji,New Zealand",Variable speed,892.0,6.5,4.81,4.5,32.759,6.2998,557.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.png
Lacron,Lacronite ECO-V 150,,"Australia,Fiji,New Zealand",Variable speed,1209.0,8.5,5.05,5.0,31.192,5.9405,585.09,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Aquatight,Saturn VS100,,"Australia,Fiji,New Zealand",Variable speed,813.0,5.7,5.29,5.0,37.584,6.3026,485.58,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Aquatight,Saturn VS150,,"Australia,Fiji,New Zealand",Variable speed,1252.0,8.9,5.21,5.0,31.963,5.8835,570.97,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Baker Hydro,Nova ECO-V150,,"Australia,Fiji,New Zealand",Variable speed,1252.0,8.9,5.21,5.0,31.963,5.8835,570.97,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_5_Star.png
Pentair,MP1100100,,"Australia,Fiji,New Zealand",Single speed,1330.0,6.0,1.09,1.0,12.467,3.2018,1463.9,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
